Date,Demand,RRP,pDemand,pRRP,nDemand,nRRP,FracNegative,Minimum Temperature,Maximum Temperature,SchoolDay,Holiday
2015-07-25,121021.42500000002,22.239188504432157,121021.42500000002,22.239188504432157,0.0,0.0,0.0,9.4,13.3,Y,N
2015-07-26,120396.735,22.3842462193846,120396.735,22.3842462193846,0.0,0.0,0.0,8.1,11.6,Y,N
2015-07-27,142470.42999999996,35.17621744666596,142470.42999999996,35.17621744666596,0.0,0.0,0.0,6.2,13.9,Y,N
2015-07-28,144008.37,40.75298792840999,144008.37,40.75298792840999,0.0,0.0,0.0,7.9,14.4,Y,N
2015-07-29,142637.76000000004,37.23752124402401,142637.76000000004,37.23752124402401,0.0,0.0,0.0,8.4,14.0,Y,N
2015-07-30,143544.11,29.122837357450624,143544.11,29.122837357450624,0.0,0.0,0.0,8.6,12.3,Y,N
2015-07-31,139584.955,35.059771089226636,139584.955,35.059771089226636,0.0,0.0,0.0,4.1,14.0,Y,N
2015-08-01,125032.57,29.880139592827692,123063.545,29.919037391617234,1969.025,-0.038897798789547404,0.020833334,6.5,11.4,Y,N
2015-08-02,117638.06500000003,23.374186578553463,117638.06500000003,23.374186578553463,0.0,0.0,0.0,7.8,14.9,Y,N
2015-08-03,141451.725,38.12797815403099,139473.49,38.13720840626015,1978.235,-0.009230252229161573,0.020833334,7.3,10.8,Y,N
2015-08-04,147550.18499999997,44.67333637806013,147550.18499999997,44.67333637806013,0.0,0.0,0.0,3.5,11.3,Y,N
2015-08-05,142325.99,42.595722403546965,142325.99,42.595722403546965,0.0,0.0,0.0,6.6,10.8,Y,N
2015-08-06,143642.35500000004,48.945172845780746,143642.35500000004,48.945172845780746,0.0,0.0,0.0,7.1,12.8,Y,N
